video_id,title,channel,published,query_used
XHO9sUXqdD4,Canada&#39;s fascist collaborators,Gracious Goblin,2025-11-19T16:00:53Z,canadian violent extremism research
bHR0W7lX3Bg,"Canada report terms Sikh separatists engaging in violent extremism, a &#39;threat to national security&#39;",ThePrint,2025-06-19T11:44:40Z,canadian violent extremism research
gXs819yM5E0,Defence and Security Studies Evening October 1: Phil Gurski - How dangerous is Terrorism in Canada?,RCMI Toronto,2019-10-02T22:30:09Z,canadian violent extremism research
LjvYfUQlZXM,Dr. Ingrid Mattson | Canadian Muslims’ Response to Violent Extremism &amp; Islamophobia,Faith of Life Network,2015-02-19T23:44:18Z,canadian violent extremism research
-JXGcwOBVpY,Dr. Farhang Rajaee at Carleton University - Averting Violent Extremism,Intercultural Dialogue Institute,2016-05-02T15:21:56Z,canadian violent extremism research
7d29kyeSm14,Averting Violent Extremism Workshop,Intercultural Dialogue Institute,2016-05-02T15:16:27Z,canadian violent extremism research
oQ5LuqbthGQ,Peter Neumann: What is going on with extremists in Germany? | CIEh Ep. 102,Canadian Intelligence Eh!,2021-07-21T11:00:32Z,canadian violent extremism research
pc61WgPEmpM,"Europe Will SUFFER from Islamic Radicalism, Terrorism: UAE Foreign Minister in 2017 #shorts #france",Statecraft,2023-07-03T12:41:05Z,canadian violent extremism research
z3TmU66St0w,Canada’s Spy Agency EXPOSES Khalistani Extremists Plotting Against India! 🇨🇦🇮🇳 @Mightypodcast,Mighty Podcast,2025-06-19T14:40:50Z,canadian violent extremism research
4m3_trIEAyU,Deradicalizing the COVID busybodies,Juno News,2021-08-11T13:55:47Z,deradicalization canada policy
NpnjsrjIKqs,Dealing with ISIS Returnees,TVO Today,2018-01-11T01:51:39Z,deradicalization canada policy
ZU9QbLOHQEY,The evolving nature of global extremism,CBC News: The National,2017-06-06T02:55:03Z,deradicalization canada policy
rkYWBPxUdoM,"Home, Land, Security: Deradicalization and the… by Carla Power · Audiobook preview",Google Play Books,2024-02-10T09:29:01Z,deradicalization canada policy
RK8zb8dA4G4,An inside look at Islamic extremism | Mubin Shaikh,TED Archive,2016-11-08T20:36:17Z,deradicalization canada policy
xyGnZA21Zho,Paul McKeever - On the Line: Hate Speech; Pardon Reform &amp; Ex-offenders; Funding Deradicalization,fpontario,2012-08-27T06:57:10Z,deradicalization canada policy
TMpdf0-o8QM,Why is the UAE backing a genocidal militia?,The Economist,2025-07-23T16:24:48Z,deradicalization canada policy
ex0mfJJ6URE,"Senator Mobina Jaffer, Senate of Canada - Averting Violent Extremism",Intercultural Dialogue Institute,2016-05-02T15:20:14Z,deradicalization canada policy
QScSPBoMh9I,Nafees Hamid : &quot;prisons are hotspots for radicalization&quot;,FRANCE 24 English,2019-03-07T13:17:18Z,deradicalization canada policy
L2ozVtZwUGM,"How White-Collar Terror Modules work-Former Taliban affiliate, once radicalised in Pakistan explains",ThePrint,2025-11-21T08:12:01Z,deradicalization canada policy
bv9tY6-facg,Webinar | Can We Rehabilitate Terrorists,Tactics Institute For Security & Counter Terrorism,2021-03-03T15:03:15Z,deradicalization canada policy
_5gq1xjNlz8,Homegrown radicalization,Canoe,2018-03-20T18:08:37Z,deradicalization canada policy
o4oXwKUpmMM,Dr Rakib Ehsan speaks with Mike Graham about the threat of terrorism,HenryJacksonSoc,2020-11-05T16:13:43Z,deradicalization canada policy
aPj0ULRXms0,Canadian Muslims and Radicalization- What Now?,Al-Ihsan Institute,2014-11-12T00:48:11Z,deradicalization canada policy
VofPD3UguRA,PANEL 2: Preventing Radicalization outside the MENA Region – Targets and Tools,MdF Events Videos,2021-06-08T12:30:06Z,deradicalization canada policy
9604pRb8ktI,French PM launches plan against Radicalisatiion,WION,2018-02-24T05:38:42Z,deradicalization canada policy
FdbBIPuqgYo,De radicalization in Xinjiang   HOW TO DO IT? Misrepresentations of the  Uighur Tribunal,Fernando Munoz Bernal,2021-06-08T12:00:15Z,deradicalization canada policy
RQpja9UkHHU,Talk to a Diplomat: Interview with Alexander Corbeil,Magdalena,2015-11-08T00:46:16Z,deradicalization canada policy
XFLsvACtxsM,Terror deradicalisation often &#39;a forlorn hope&#39;: Former NSW judge,Sky News Australia,2020-02-18T08:01:54Z,deradicalization canada policy
dhFaK4btGpc,ATA Counter-Terrorism Strategies 12June 2015 - Pt. VI - Dr. Fares Braizat,ATA Secretariat,2015-07-13T18:22:45Z,deradicalization canada policy
